,i_header,i_label,i_data,title,link,coach_name,id
13,Coaching career (HC unless noted),2007,Texas Tech (OC/IWR),,,Dana Holgorsen,Q5214745
14,Coaching career (HC unless noted),2008–2009,Houston (OC/QB),Houston Cougars football,/wiki/Houston_Cougars_football,Dana Holgorsen,Q5214745
15,Coaching career (HC unless noted),2010,Oklahoma State (OC/QB),Oklahoma State Cowboys football,/wiki/Oklahoma_State_Cowboys_football,Dana Holgorsen,Q5214745
16,Coaching career (HC unless noted),2011–2018,West Virginia,West Virginia Mountaineers football,/wiki/West_Virginia_Mountaineers_football,Dana Holgorsen,Q5214745
17,Coaching career (HC unless noted),2019–present,Houston,,,Dana Holgorsen,Q5214745
5,Biographical details,Born," (1979-11-29) November 29, 1979 (age 43)Massillon, Ohio, U.S.","Massillon, Ohio","/wiki/Massillon,_Ohio",Matt Campbell,Q6788434
6,Playing career,1998,Pittsburgh,Pittsburgh Panthers football,/wiki/Pittsburgh_Panthers_football,Matt Campbell,Q6788434
7,Playing career,1999–2002,Mount Union,Mount Union Purple Raiders football,/wiki/Mount_Union_Purple_Raiders_football,Matt Campbell,Q6788434
8,Playing career,Position(s),Defensive lineman,Defensive lineman,/wiki/Defensive_lineman,Matt Campbell,Q6788434
9,Coaching career (HC unless noted),2003–2004,Bowling Green (GA),Bowling Green Falcons football,/wiki/Bowling_Green_Falcons_football,Matt Campbell,Q6788434
10,Coaching career (HC unless noted),2003–2004,Bowling Green (GA),Graduate assistant,/wiki/Graduate_assistant,Matt Campbell,Q6788434
11,Coaching career (HC unless noted),2005–2006,Mount Union (OC/OL),Mount Union Purple Raiders football,/wiki/Mount_Union_Purple_Raiders_football,Matt Campbell,Q6788434
12,Coaching career (HC unless noted),2005–2006,Mount Union (OC/OL),Offensive coordinator,/wiki/Offensive_coordinator,Matt Campbell,Q6788434
13,Coaching career (HC unless noted),2007,Bowling Green (OL),,,Matt Campbell,Q6788434
14,Coaching career (HC unless noted),2008,Bowling Green (RGC/OL),,,Matt Campbell,Q6788434
15,Coaching career (HC unless noted),2009,Toledo (RGC/OL),Toledo Rockets football,/wiki/Toledo_Rockets_football,Matt Campbell,Q6788434
16,Coaching career (HC unless noted),2010–2011,Toledo (OC/OL),,,Matt Campbell,Q6788434
17,Coaching career (HC unless noted),2012–2015,Toledo,,,Matt Campbell,Q6788434
18,Coaching career (HC unless noted),2016–present,Iowa State,Iowa State Cyclones football,/wiki/Iowa_State_Cyclones_football,Matt Campbell,Q6788434
4,Biographical details,Born," (1964-05-06) May 6, 1964 (age 59)Jefferson, Wisconsin, U.S.","Jefferson, Wisconsin","/wiki/Jefferson,_Wisconsin",Lance Leipold,Q6483452
5,Playing career,1983–1986,Wisconsin–Whitewater,Wisconsin–Whitewater Warhawks football,/wiki/Wisconsin%E2%80%93Whitewater_Warhawks_football,Lance Leipold,Q6483452
6,Playing career,Position(s),Quarterback,Quarterback,/wiki/Quarterback,Lance Leipold,Q6483452
7,Coaching career (HC unless noted),1987,Wisconsin–Whitewater (QB),Wisconsin–Whitewater Warhawks football,/wiki/Wisconsin%E2%80%93Whitewater_Warhawks_football,Lance Leipold,Q6483452
8,Coaching career (HC unless noted),1988,Wisconsin–Whitewater (WR),,,Lance Leipold,Q6483452
9,Coaching career (HC unless noted),1989,Doane (assistant),Doane Tigers football,/wiki/Doane_Tigers_football,Lance Leipold,Q6483452
10,Coaching career (HC unless noted),1990,Wisconsin–Whitewater (assistant),,,Lance Leipold,Q6483452
11,Coaching career (HC unless noted),1991–1993,Wisconsin (GA),Wisconsin Badgers football,/wiki/Wisconsin_Badgers_football,Lance Leipold,Q6483452
12,Coaching career (HC unless noted),1991–1993,Wisconsin (GA),Graduate assistant,/wiki/Graduate_assistant,Lance Leipold,Q6483452
13,Coaching career (HC unless noted),1994–2000,Nebraska–Omaha (assistant),Nebraska–Omaha Mavericks football,/wiki/Nebraska%E2%80%93Omaha_Mavericks_football,Lance Leipold,Q6483452
14,Coaching career (HC unless noted),2001–2003,Nebraska (assistant),Nebraska Cornhuskers football,/wiki/Nebraska_Cornhuskers_football,Lance Leipold,Q6483452
15,Coaching career (HC unless noted),2004–2006,Nebraska–Omaha (AHC/OC),Offensive coordinator,/wiki/Offensive_coordinator,Lance Leipold,Q6483452
16,Coaching career (HC unless noted),2007–2014,Wisconsin–Whitewater,,,Lance Leipold,Q6483452
17,Coaching career (HC unless noted),2015–2020,Buffalo,Buffalo Bulls football,/wiki/Buffalo_Bulls_football,Lance Leipold,Q6483452
18,Coaching career (HC unless noted),2021–present,Kansas,Kansas Jayhawks football,/wiki/Kansas_Jayhawks_football,Lance Leipold,Q6483452
5,Biographical details,Born," (1967-09-27) September 27, 1967 (age 55)Waterloo, Iowa, U.S.","Waterloo, Iowa","/wiki/Waterloo,_Iowa",Chris Klieman,Q16197047
6,Playing career,1986–1990,Northern Iowa,Northern Iowa Panthers football,/wiki/Northern_Iowa_Panthers_football,Chris Klieman,Q16197047
7,Playing career,Position(s),Defensive back,Defensive back,/wiki/Defensive_back,Chris Klieman,Q16197047
8,Coaching career (HC unless noted),1991–1992,Northern Iowa (GA),Northern Iowa Panthers football,/wiki/Northern_Iowa_Panthers_football,Chris Klieman,Q16197047
9,Coaching career (HC unless noted),1993,Northern Iowa (DB),,,Chris Klieman,Q16197047
10,Coaching career (HC unless noted),1994–1996,Western Illinois (DB),Western Illinois Leathernecks football,/wiki/Western_Illinois_Leathernecks_football,Chris Klieman,Q16197047
11,Coaching career (HC unless noted),1997,Kansas (GA),Kansas Jayhawks football,/wiki/Kansas_Jayhawks_football,Chris Klieman,Q16197047
12,Coaching career (HC unless noted),1999,Missouri State (DB),Missouri State Bears football,/wiki/Missouri_State_Bears_football,Chris Klieman,Q16197047
13,Coaching career (HC unless noted),2002–2004,Loras (DC),Loras Duhawks football,/wiki/Loras_Duhawks_football,Chris Klieman,Q16197047
14,Coaching career (HC unless noted),2005,Loras,,,Chris Klieman,Q16197047
15,Coaching career (HC unless noted),2006–2007,Northern Iowa (DB),,,Chris Klieman,Q16197047
16,Coaching career (HC unless noted),2008,Northern Iowa (Co-DC/DB),,,Chris Klieman,Q16197047
17,Coaching career (HC unless noted),2009–2010,Northern Iowa (DC/DB),,,Chris Klieman,Q16197047
18,Coaching career (HC unless noted),2011,North Dakota State (DB),North Dakota State Bison football,/wiki/North_Dakota_State_Bison_football,Chris Klieman,Q16197047
19,Coaching career (HC unless noted),2012–2013,North Dakota State (DC),,,Chris Klieman,Q16197047
20,Coaching career (HC unless noted),2014–2018,North Dakota State,,,Chris Klieman,Q16197047
21,Coaching career (HC unless noted),2019–present,Kansas State,Kansas State Wildcats football,/wiki/Kansas_State_Wildcats_football,Chris Klieman,Q16197047
4,Biographical details,Born," (1970-12-18) December 18, 1970 (age 52)Homestead, Fl, U.S.","Homestead, Fl","/wiki/Homestead,_Fl",Brent Venables,Q4961578
5,Biographical details,Alma mater,Kansas State University (Class of 1992),,,Brent Venables,Q4961578
6,Playing career,1989–1990,Garden City CC,Garden City Community College,/wiki/Garden_City_Community_College,Brent Venables,Q4961578
7,Playing career,1991–1992,Kansas State,Kansas State Wildcats football,/wiki/Kansas_State_Wildcats_football,Brent Venables,Q4961578
8,Playing career,Position(s),Linebacker,Linebacker,/wiki/Linebacker,Brent Venables,Q4961578
9,Coaching career (HC unless noted),1993–1995,Kansas State (GA),Kansas State Wildcats football,/wiki/Kansas_State_Wildcats_football,Brent Venables,Q4961578
10,Coaching career (HC unless noted),1993–1995,Kansas State (GA),Graduate assistant,/wiki/Graduate_assistant,Brent Venables,Q4961578
11,Coaching career (HC unless noted),1996–1998,Kansas State (LB),,,Brent Venables,Q4961578
12,Coaching career (HC unless noted),1999–2003,Oklahoma (co-DC/LB),Oklahoma Sooners football,/wiki/Oklahoma_Sooners_football,Brent Venables,Q4961578
13,Coaching career (HC unless noted),1999–2003,Oklahoma (co-DC/LB),Defensive coordinator,/wiki/Defensive_coordinator,Brent Venables,Q4961578
14,Coaching career (HC unless noted),2004–2011,Oklahoma (AHC/DC/LB),Head Coach,/wiki/Head_Coach#Roles,Brent Venables,Q4961578
15,Coaching career (HC unless noted),2012–2017,Clemson (DC/LB),Clemson Tigers football,/wiki/Clemson_Tigers_football,Brent Venables,Q4961578
16,Coaching career (HC unless noted),2018–2021,Clemson (AHC/DC/LB),,,Brent Venables,Q4961578
17,Coaching career (HC unless noted),2022–present,Oklahoma,,,Brent Venables,Q4961578
5,Biographical details,Born," (1967-08-12) August 12, 1967 (age 56)Midwest City, Oklahoma, U.S.","Midwest City, Oklahoma","/wiki/Midwest_City,_Oklahoma",Mike Gundy,Q6847094
6,Playing career,1986–1989,Oklahoma State,Oklahoma State Cowboys football,/wiki/Oklahoma_State_Cowboys_football,Mike Gundy,Q6847094
7,Playing career,Position(s),Quarterback,Quarterback,/wiki/Quarterback,Mike Gundy,Q6847094
8,Coaching career (HC unless noted),1990,Oklahoma State (WR),Oklahoma State Cowboys football,/wiki/Oklahoma_State_Cowboys_football,Mike Gundy,Q6847094
9,Coaching career (HC unless noted),1991–1993,Oklahoma State (QB),,,Mike Gundy,Q6847094
10,Coaching career (HC unless noted),1994,Oklahoma State (OC/QB),Offensive coordinator,/wiki/Offensive_coordinator,Mike Gundy,Q6847094
11,Coaching career (HC unless noted),1995,Oklahoma State (QB),,,Mike Gundy,Q6847094
12,Coaching career (HC unless noted),1996,Baylor (PGC/QB),Baylor Bears football,/wiki/Baylor_Bears_football,Mike Gundy,Q6847094
13,Coaching career (HC unless noted),1997–1999,Maryland (WR),Maryland Terrapins football,/wiki/Maryland_Terrapins_football,Mike Gundy,Q6847094
14,Coaching career (HC unless noted),2000,Maryland (PGC/QB),,,Mike Gundy,Q6847094
15,Coaching career (HC unless noted),2001–2004,Oklahoma State (AHC/OC),,,Mike Gundy,Q6847094
16,Coaching career (HC unless noted),2005–present,Oklahoma State,,,Mike Gundy,Q6847094
4,Biographical details,Born," (1969-11-09) November 9, 1969 (age 53)Big Spring, Texas, U.S.","Big Spring, Texas","/wiki/Big_Spring,_Texas",Sonny Dykes,Q7562033
5,Baseball,1989–1993,Texas Tech,Texas Tech Red Raiders baseball,/wiki/Texas_Tech_Red_Raiders_baseball,Sonny Dykes,Q7562033
6,Baseball,Position(s),First baseman,First baseman,/wiki/First_baseman,Sonny Dykes,Q7562033
7,Football,1994,J. J. Pearce HS (TX) (RB),J. J. Pearce High School,/wiki/J._J._Pearce_High_School,Sonny Dykes,Q7562033
8,Football,1995,Navarro JC (RB),Navarro College,/wiki/Navarro_College,Sonny Dykes,Q7562033
9,Football,1996,Navarro JC (PGC/QB),,,Sonny Dykes,Q7562033
10,Football,1997,Kentucky (GA/TE),Kentucky Wildcats football,/wiki/Kentucky_Wildcats_football,Sonny Dykes,Q7562033
11,Football,1998,Northeast Louisiana (WR),Louisiana–Monroe Warhawks football,/wiki/Louisiana%E2%80%93Monroe_Warhawks_football,Sonny Dykes,Q7562033
12,Football,1999,Kentucky (ST/WR),,,Sonny Dykes,Q7562033
13,Football,2000–2004,Texas Tech (WR),Texas Tech Red Raiders football,/wiki/Texas_Tech_Red_Raiders_football,Sonny Dykes,Q7562033
14,Football,2005–2006,Texas Tech (co-OC/WR),,,Sonny Dykes,Q7562033
15,Football,2007–2009,Arizona (OC/QB),Arizona Wildcats football,/wiki/Arizona_Wildcats_football,Sonny Dykes,Q7562033
16,Football,2010–2012,Louisiana Tech,Louisiana Tech Bulldogs football,/wiki/Louisiana_Tech_Bulldogs_football,Sonny Dykes,Q7562033
17,Football,2013–2016,California,California Golden Bears football,/wiki/California_Golden_Bears_football,Sonny Dykes,Q7562033
18,Football,2017,TCU (off. analyst),TCU Horned Frogs football,/wiki/TCU_Horned_Frogs_football,Sonny Dykes,Q7562033
19,Football,2018–2021,SMU,SMU Mustangs football,/wiki/SMU_Mustangs_football,Sonny Dykes,Q7562033
20,Football,2022–present,TCU,,,Sonny Dykes,Q7562033
21,Baseball,1994,Monahans HS (TX) (assistant),Monahans High School,/wiki/Monahans_High_School,Sonny Dykes,Q7562033
5,Biographical details,Born," (1974-03-08) March 8, 1974 (age 49)Torrance, California, U.S.","Torrance, California","/wiki/Torrance,_California",Steve Sarkisian,Q7613847
6,Playing career,1993-1994,El Camino College,El Camino College,/wiki/El_Camino_College,Steve Sarkisian,Q7613847
7,Playing career,1995–1996,BYU,BYU Cougars football,/wiki/BYU_Cougars_football,Steve Sarkisian,Q7613847
8,Playing career,1997–1999,Saskatchewan Roughriders,Saskatchewan Roughriders,/wiki/Saskatchewan_Roughriders,Steve Sarkisian,Q7613847
9,Playing career,Position(s),Quarterback,Quarterback,/wiki/Quarterback,Steve Sarkisian,Q7613847
10,Coaching career (HC unless noted),2000,El Camino College (QB),El Camino College,/wiki/El_Camino_College,Steve Sarkisian,Q7613847
11,Coaching career (HC unless noted),2001–2003,USC (QB),USC Trojans football,/wiki/USC_Trojans_football,Steve Sarkisian,Q7613847
12,Coaching career (HC unless noted),2004,Oakland Raiders (QB),Oakland Raiders,/wiki/Oakland_Raiders,Steve Sarkisian,Q7613847
13,Coaching career (HC unless noted),2005–2006,USC (QB),,,Steve Sarkisian,Q7613847
14,Coaching career (HC unless noted),2007–2008,USC (AHC/OC/QB),,,Steve Sarkisian,Q7613847
15,Coaching career (HC unless noted),2009–2013,Washington,Washington Huskies football,/wiki/Washington_Huskies_football,Steve Sarkisian,Q7613847
16,Coaching career (HC unless noted),2014–2015,USC,,,Steve Sarkisian,Q7613847
17,Coaching career (HC unless noted),2016,Alabama (Analyst/Interim OC),,,Steve Sarkisian,Q7613847
18,Coaching career (HC unless noted),2017–2018,Atlanta Falcons (OC),Atlanta Falcons,/wiki/Atlanta_Falcons,Steve Sarkisian,Q7613847
19,Coaching career (HC unless noted),2019–2020,Alabama (OC),Alabama Crimson Tide football,/wiki/Alabama_Crimson_Tide_football,Steve Sarkisian,Q7613847
20,Coaching career (HC unless noted),2021–present,Texas,Texas Longhorns football,/wiki/Texas_Longhorns_football,Steve Sarkisian,Q7613847
4,Biographical details,Born," (1971-08-06) August 6, 1971 (age 52)",,,Joey McGuire,Q109406516
5,Biographical details,Alma mater,UT Arlington,University of Texas at Arlington,/wiki/University_of_Texas_at_Arlington,Joey McGuire,Q109406516
6,Coaching career (HC unless noted),1995–1996,Crowley HS (TX) (DL),Crowley High School (Texas),/wiki/Crowley_High_School_(Texas),Joey McGuire,Q109406516
7,Coaching career (HC unless noted),1997–2002,Cedar Hill HS (TX) (DB),Cedar Hill High School,/wiki/Cedar_Hill_High_School,Joey McGuire,Q109406516
8,Coaching career (HC unless noted),2003–2016,Cedar Hill HS (TX),,,Joey McGuire,Q109406516
9,Coaching career (HC unless noted),2017–2018,Baylor (TE),Baylor Bears football,/wiki/Baylor_Bears_football,Joey McGuire,Q109406516
10,Coaching career (HC unless noted),2019,Baylor (assoc. HC/DE),,,Joey McGuire,Q109406516
11,Coaching career (HC unless noted),2020–2021,Baylor (assoc. HC/OLB),,,Joey McGuire,Q109406516
12,Coaching career (HC unless noted),2022–present,Texas Tech,Texas Tech Red Raiders football,/wiki/Texas_Tech_Red_Raiders_football,Joey McGuire,Q109406516
5,Biographical details,Born," (1965-10-28) October 28, 1965 (age 57)Irving, Texas, U.S.","Irving, Texas","/wiki/Irving,_Texas",Gus Malzahn,Q5620734
6,Playing career,1984–1985,Arkansas,Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Gus Malzahn,Q5620734
7,Playing career,1987–1989,Henderson State,Henderson State Reddies football,/wiki/Henderson_State_Reddies_football,Gus Malzahn,Q5620734
8,Playing career,Position(s),Wide receiver,Wide receiver,/wiki/Wide_receiver,Gus Malzahn,Q5620734
9,Coaching career (HC unless noted),1991,Hughes HS (AR) (DC),Hughes High School,/wiki/Hughes_High_School,Gus Malzahn,Q5620734
10,Coaching career (HC unless noted),1991,Hughes HS (AR) (DC),Defensive coordinator,/wiki/Defensive_coordinator,Gus Malzahn,Q5620734
11,Coaching career (HC unless noted),1992–1995,Hughes HS (AR),,,Gus Malzahn,Q5620734
12,Coaching career (HC unless noted),1996–2000,Shiloh Christian HS (AR),Shiloh Christian School,/wiki/Shiloh_Christian_School,Gus Malzahn,Q5620734
13,Coaching career (HC unless noted),2001–2005,Springdale HS (AR),Springdale High School,/wiki/Springdale_High_School,Gus Malzahn,Q5620734
14,Coaching career (HC unless noted),2006,Arkansas (OC/WR),Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Gus Malzahn,Q5620734
15,Coaching career (HC unless noted),2006,Arkansas (OC/WR),Offensive coordinator,/wiki/Offensive_coordinator,Gus Malzahn,Q5620734
16,Coaching career (HC unless noted),2007–2008,Tulsa (AHC/co-OC/QB),Tulsa Golden Hurricane football,/wiki/Tulsa_Golden_Hurricane_football,Gus Malzahn,Q5620734
17,Coaching career (HC unless noted),2007–2008,Tulsa (AHC/co-OC/QB),Head Coach,/wiki/Head_Coach#Roles,Gus Malzahn,Q5620734
18,Coaching career (HC unless noted),2009–2011,Auburn (AHC/OC/QB),Auburn Tigers football,/wiki/Auburn_Tigers_football,Gus Malzahn,Q5620734
19,Coaching career (HC unless noted),2012,Arkansas State,Arkansas State Red Wolves football,/wiki/Arkansas_State_Red_Wolves_football,Gus Malzahn,Q5620734
20,Coaching career (HC unless noted),2013–2020,Auburn,,,Gus Malzahn,Q5620734
21,Coaching career (HC unless noted),2021–present,UCF,UCF Knights football,/wiki/UCF_Knights_football,Gus Malzahn,Q5620734
5,Biographical details,Born," (1980-03-11) March 11, 1980 (age 43)Louisville, Kentucky, U.S.[2]","Louisville, Kentucky","/wiki/Louisville,_Kentucky",Neal Brown,Q6984071
6,Biographical details,Born," (1980-03-11) March 11, 1980 (age 43)Louisville, Kentucky, U.S.[2]",,#cite_note-2,Neal Brown,Q6984071
7,Biographical details,Alma mater,UMass,University of Massachusetts Amherst,/wiki/University_of_Massachusetts_Amherst,Neal Brown,Q6984071
8,Playing career,1998–2000,Kentucky,Kentucky Wildcats football,/wiki/Kentucky_Wildcats_football,Neal Brown,Q6984071
9,Playing career,2001–2002,UMass,UMass Minutemen football,/wiki/UMass_Minutemen_football,Neal Brown,Q6984071
10,Playing career,Position(s),Wide receiver,Wide receiver,/wiki/Wide_receiver,Neal Brown,Q6984071
11,Coaching career (HC unless noted),2003,UMass (TE/AOL),UMass Minutemen football,/wiki/UMass_Minutemen_football,Neal Brown,Q6984071
12,Coaching career (HC unless noted),2004,Sacred Heart (QB/WR),Sacred Heart Pioneers football,/wiki/Sacred_Heart_Pioneers_football,Neal Brown,Q6984071
13,Coaching career (HC unless noted),2005,Delaware (WR),Delaware Fightin' Blue Hens football,/wiki/Delaware_Fightin%27_Blue_Hens_football,Neal Brown,Q6984071
14,Coaching career (HC unless noted),2006–2007,Troy (IWR),Troy Trojans football,/wiki/Troy_Trojans_football,Neal Brown,Q6984071
15,Coaching career (HC unless noted),2008–2009,Troy (OC/QB),,,Neal Brown,Q6984071
16,Coaching career (HC unless noted),2010–2012,Texas Tech (OC/QB),Texas Tech Red Raiders football,/wiki/Texas_Tech_Red_Raiders_football,Neal Brown,Q6984071
17,Coaching career (HC unless noted),2013–2014,Kentucky (OC/QB),,,Neal Brown,Q6984071
18,Coaching career (HC unless noted),2015–2018,Troy,,,Neal Brown,Q6984071
19,Coaching career (HC unless noted),2019–present,West Virginia,West Virginia Mountaineers football,/wiki/West_Virginia_Mountaineers_football,Neal Brown,Q6984071
5,Biographical details,Born," (1970-01-13) January 13, 1970 (age 53)Silvis, Illinois, U.S.","Silvis, Illinois","/wiki/Silvis,_Illinois",Bret Bielema,Q4961919
6,Playing career,1989–1992,Iowa,Iowa Hawkeyes football,/wiki/Iowa_Hawkeyes_football,Bret Bielema,Q4961919
7,Playing career,1994,Milwaukee Mustangs,Milwaukee Mustangs (1994–2001),/wiki/Milwaukee_Mustangs_(1994%E2%80%932001),Bret Bielema,Q4961919
8,Playing career,Position(s),Nose guard,Nose guard,/wiki/Nose_guard,Bret Bielema,Q4961919
9,Coaching career (HC unless noted),1994–1995,Iowa (GA),Iowa Hawkeyes football,/wiki/Iowa_Hawkeyes_football,Bret Bielema,Q4961919
10,Coaching career (HC unless noted),1994–1995,Iowa (GA),Graduate assistant,/wiki/Graduate_assistant,Bret Bielema,Q4961919
11,Coaching career (HC unless noted),1996–2001,Iowa (LB),,,Bret Bielema,Q4961919
12,Coaching career (HC unless noted),2002–2003,Kansas State (co-DC),Kansas State Wildcats football,/wiki/Kansas_State_Wildcats_football,Bret Bielema,Q4961919
13,Coaching career (HC unless noted),2002–2003,Kansas State (co-DC),Defensive coordinator,/wiki/Defensive_coordinator,Bret Bielema,Q4961919
14,Coaching career (HC unless noted),2004–2005,Wisconsin (DC),Wisconsin Badgers football,/wiki/Wisconsin_Badgers_football,Bret Bielema,Q4961919
15,Coaching career (HC unless noted),2006–2012,Wisconsin,,,Bret Bielema,Q4961919
16,Coaching career (HC unless noted),2013–2017,Arkansas,Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Bret Bielema,Q4961919
17,Coaching career (HC unless noted),2018,New England Patriots (consultant to HC),New England Patriots,/wiki/New_England_Patriots,Bret Bielema,Q4961919
18,Coaching career (HC unless noted),2019,New England Patriots (DL),,,Bret Bielema,Q4961919
19,Coaching career (HC unless noted),2020,New York Giants (OLB),New York Giants,/wiki/New_York_Giants,Bret Bielema,Q4961919
20,Coaching career (HC unless noted),2021–present,Illinois,Illinois Fighting Illini football,/wiki/Illinois_Fighting_Illini_football,Bret Bielema,Q4961919
5,Biographical details,Born," (1970-03-14) March 14, 1970 (age 53)New Castle, Indiana, U.S.","New Castle, Indiana","/wiki/New_Castle,_Indiana",Tom Allen,Q27942281
6,Biographical details,Alma mater,Maranatha Baptist University,Maranatha Baptist University,/wiki/Maranatha_Baptist_University,Tom Allen,Q27942281
7,Coaching career (HC unless noted),1992,Temple Heights HS (FL) (DC),Temple Heights Christian School,/wiki/Temple_Heights_Christian_School,Tom Allen,Q27942281
8,Coaching career (HC unless noted),1992,Temple Heights HS (FL) (DC),Defensive coordinator,/wiki/Defensive_coordinator,Tom Allen,Q27942281
9,Coaching career (HC unless noted),1993,Temple Heights HS (FL) (DC/interim head coach),Defensive coordinator,/wiki/Defensive_coordinator,Tom Allen,Q27942281
10,Coaching career (HC unless noted),1994,Temple Heights HS (FL),,,Tom Allen,Q27942281
11,Coaching career (HC unless noted),1995–1996,Armwood HS (FL) (DC),Armwood High School,/wiki/Armwood_High_School,Tom Allen,Q27942281
12,Coaching career (HC unless noted),1997,Marion HS (IN) (DC),Marion High School (Indiana),/wiki/Marion_High_School_(Indiana),Tom Allen,Q27942281
13,Coaching career (HC unless noted),1998–2003,Ben Davis HS (IN) (DC),Ben Davis High School,/wiki/Ben_Davis_High_School,Tom Allen,Q27942281
14,Coaching career (HC unless noted),2004–2006,Ben Davis HS (IN),,,Tom Allen,Q27942281
15,Coaching career (HC unless noted),2007,Wabash (DB/ST),Wabash Little Giants football,/wiki/Wabash_Little_Giants_football,Tom Allen,Q27942281
16,Coaching career (HC unless noted),2008–2009,Lambuth (AHC/DC/LB),Lambuth Eagles football,/wiki/Lambuth_Eagles_football,Tom Allen,Q27942281
17,Coaching career (HC unless noted),2010,Drake (DC/LB),Drake Bulldogs football,/wiki/Drake_Bulldogs_football,Tom Allen,Q27942281
18,Coaching career (HC unless noted),2011,Arkansas State (AHC),Arkansas State Red Wolves football,/wiki/Arkansas_State_Red_Wolves_football,Tom Allen,Q27942281
19,Coaching career (HC unless noted),2012–2014,Ole Miss (LB/ST),Ole Miss Rebels football,/wiki/Ole_Miss_Rebels_football,Tom Allen,Q27942281
20,Coaching career (HC unless noted),2015,South Florida (DC),South Florida Bulls football,/wiki/South_Florida_Bulls_football,Tom Allen,Q27942281
21,Coaching career (HC unless noted),2016,Indiana (DC),Indiana Hoosiers football,/wiki/Indiana_Hoosiers_football,Tom Allen,Q27942281
22,Coaching career (HC unless noted),2017–present,Indiana,,,Tom Allen,Q27942281
5,Biographical details,Born," (1955-08-01) August 1, 1955 (age 68)Royal Oak, Michigan, U.S.","Royal Oak, Michigan","/wiki/Royal_Oak,_Michigan",Kirk Ferentz,Q6415427
6,Playing career,1974–1976,Connecticut,UConn Huskies football,/wiki/UConn_Huskies_football,Kirk Ferentz,Q6415427
7,Playing career,Position(s),Linebacker,Linebacker,/wiki/Linebacker,Kirk Ferentz,Q6415427
8,Coaching career (HC unless noted),1977,Connecticut (GA),UConn Huskies football,/wiki/UConn_Huskies_football,Kirk Ferentz,Q6415427
9,Coaching career (HC unless noted),1977,Connecticut (GA),Graduate assistant,/wiki/Graduate_assistant,Kirk Ferentz,Q6415427
10,Coaching career (HC unless noted),1978–1979,Worcester Academy (MA) (OL/DC),Worcester Academy,/wiki/Worcester_Academy,Kirk Ferentz,Q6415427
11,Coaching career (HC unless noted),1980,Pittsburgh (GA),Pittsburgh Panthers football,/wiki/Pittsburgh_Panthers_football,Kirk Ferentz,Q6415427
12,Coaching career (HC unless noted),1981–1989,Iowa (OL),Iowa Hawkeyes football,/wiki/Iowa_Hawkeyes_football,Kirk Ferentz,Q6415427
13,Coaching career (HC unless noted),1990–1992,Maine,Maine Black Bears football,/wiki/Maine_Black_Bears_football,Kirk Ferentz,Q6415427
14,Coaching career (HC unless noted),1993–1995,Cleveland Browns (OL),Cleveland Browns,/wiki/Cleveland_Browns,Kirk Ferentz,Q6415427
15,Coaching career (HC unless noted),1996,Baltimore Ravens (OL),Baltimore Ravens,/wiki/Baltimore_Ravens,Kirk Ferentz,Q6415427
16,Coaching career (HC unless noted),1997–1998,Baltimore Ravens (AHC/OL),Baltimore Ravens,/wiki/Baltimore_Ravens,Kirk Ferentz,Q6415427
17,Coaching career (HC unless noted),1999–present,Iowa,,,Kirk Ferentz,Q6415427
5,Biographical details,Born," (1969-12-25) December 25, 1969 (age 53)Washington, D.C., U.S.","Washington, D.C.","/wiki/Washington,_D.C.",Mike Locksley,Q16205924
6,Playing career,1988–1991,Towson State,Towson Tigers football,/wiki/Towson_Tigers_football,Mike Locksley,Q16205924
7,Playing career,Position(s),Defensive back,Defensive back,/wiki/Defensive_back,Mike Locksley,Q16205924
8,Coaching career (HC unless noted),1992,Towson State (DB/ST),Towson Tigers football,/wiki/Towson_Tigers_football,Mike Locksley,Q16205924
9,Coaching career (HC unless noted),1993,Navy Prep (MD) (DC/DB),Naval Academy Preparatory School,/wiki/Naval_Academy_Preparatory_School,Mike Locksley,Q16205924
10,Coaching career (HC unless noted),1994,Navy Prep (MD) (DC/DL),,,Mike Locksley,Q16205924
11,Coaching career (HC unless noted),1995,Pacific (CA) (OLB),Pacific Tigers football,/wiki/Pacific_Tigers_football,Mike Locksley,Q16205924
12,Coaching career (HC unless noted),1996,Army (WR/TE),Army Black Knights football,/wiki/Army_Black_Knights_football,Mike Locksley,Q16205924
13,Coaching career (HC unless noted),1997,Maryland (RB),Maryland Terrapins football,/wiki/Maryland_Terrapins_football,Mike Locksley,Q16205924
14,Coaching career (HC unless noted),1998–2002,Maryland (RB/RC),,,Mike Locksley,Q16205924
15,Coaching career (HC unless noted),2003–2004,Florida (RB/RC),Florida Gators football,/wiki/Florida_Gators_football,Mike Locksley,Q16205924
16,Coaching career (HC unless noted),2005,Illinois (OC/TE),Illinois Fighting Illini football,/wiki/Illinois_Fighting_Illini_football,Mike Locksley,Q16205924
17,Coaching career (HC unless noted),2005,Illinois (OC/TE),Offensive coordinator,/wiki/Offensive_coordinator,Mike Locksley,Q16205924
18,Coaching career (HC unless noted),2006–2008,Illinois (OC/QB),,,Mike Locksley,Q16205924
